2023-03-25T02:18:12.478528014Z {"level":"info","time":"2023-03-25T02:18:12.478482Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T02:49:24.632760895Z {"level":"info","time":"2023-03-25T02:49:24.632712Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T03:17:45.430300525Z {"level":"info","time":"2023-03-25T03:17:45.430249Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T03:48:53.505072545Z {"level":"info","time":"2023-03-25T03:48:53.505028Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T04:19:59.971189199Z {"level":"info","time":"2023-03-25T04:19:59.971144Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T04:51:28.120998960Z {"level":"info","time":"2023-03-25T04:51:28.120950Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T05:24:10.040111579Z {"level":"info","time":"2023-03-25T05:24:10.040061Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T05:28:24.163757530Z {"level":"info","time":"2023-03-25T05:28:24.163707Z","scope":"ads","msg":"XDS: Incremental Pushing:0 ConnectedEndpoints:2 Version:"}
2023-03-25T05:28:24.284183100Z {"level":"info","time":"2023-03-25T05:28:24.284134Z","scope":"cache","msg":"generated new workload certificate","latency":120292258,"ttl":86399715871384}
2023-03-25T05:28:24.284231505Z {"level":"info","time":"2023-03-25T05:28:24.284218Z","scope":"ads","msg":"SDS: PUSH for node:istio-egressgateway-74b6d5dd78-2tnlx.istio-system resources:1 size:4.0kB resource:default"}
2023-03-25T05:56:40.287407799Z {"level":"info","time":"2023-03-25T05:56:40.287361Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
